Close,Pred_Close_Tmrw,Close_Lagged_10,Close_Lagged_9,Close_Lagged_8,Close_Lagged_7,Close_Lagged_6,Close_Lagged_5,Close_Lagged_4,Close_Lagged_3,Close_Lagged_2,Close_Lagged_1,Sentiment,Sent_Lagged_10,Sent_Lagged_9,Sent_Lagged_8,Sent_Lagged_7,Sent_Lagged_6,Sent_Lagged_5,Sent_Lagged_4,Sent_Lagged_3,Sent_Lagged_2,Sent_Lagged_1,TBill_Delta_30
135.94,135.18186950683594,144.29,143.0,145.93,143.96,141.86,142.53,141.11,137.87,135.27,135.21,0.5684,0.31,0.3511,0.3045,0.5189,0.4301,0.6312,0.5641,0.3608,0.7244,0.2436,-0.39200000000000035
135.21,135.9920196533203,145.43,144.29,143.0,145.93,143.96,141.86,142.53,141.11,137.87,135.27,0.2436,0.5118,0.31,0.3511,0.3045,0.5189,0.4301,0.6312,0.5641,0.3608,0.7244,-0.39200000000000035
135.27,136.878662109375,150.82,145.43,144.29,143.0,145.93,143.96,141.86,142.53,141.11,137.87,0.7244,0.3336,0.5118,0.31,0.3511,0.3045,0.5189,0.4301,0.6312,0.5641,0.3608,-0.39200000000000035
137.87,137.6332244873047,154.5,150.82,145.43,144.29,143.0,145.93,143.96,141.86,142.53,141.11,0.3608,0.2549,0.3336,0.5118,0.31,0.3511,0.3045,0.5189,0.4301,0.6312,0.5641,-0.39200000000000035
141.11,138.60324096679688,151.73,154.5,150.82,145.43,144.29,143.0,145.93,143.96,141.86,142.53,0.5641,0.0339,0.2549,0.3336,0.5118,0.31,0.3511,0.3045,0.5189,0.4301,0.6312,-0.39200000000000035
142.53,139.93177795410156,154.65,151.73,154.5,150.82,145.43,144.29,143.0,145.93,143.96,141.86,0.6312,0.4454,0.0339,0.2549,0.3336,0.5118,0.31,0.3511,0.3045,0.5189,0.4301,-0.39200000000000035
141.86,141.072998046875,151.92,154.65,151.73,154.5,150.82,145.43,144.29,143.0,145.93,143.96,0.4301,0.5498,0.4454,0.0339,0.2549,0.3336,0.5118,0.31,0.3511,0.3045,0.5189,-0.39200000000000035
143.96,142.42572021484375,150.87,151.92,154.65,151.73,154.5,150.82,145.43,144.29,143.0,145.93,0.5189,0.6005,0.5498,0.4454,0.0339,0.2549,0.3336,0.5118,0.31,0.3511,0.3045,-0.39200000000000035
145.93,143.84585571289062,151.01,150.87,151.92,154.65,151.73,154.5,150.82,145.43,144.29,143.0,0.3045,0.494,0.6005,0.5498,0.4454,0.0339,0.2549,0.3336,0.5118,0.31,0.3511,-0.39200000000000035
143.0,144.98585510253906,153.85,151.01,150.87,151.92,154.65,151.73,154.5,150.82,145.43,144.29,0.3511,0.7237,0.494,0.6005,0.5498,0.4454,0.0339,0.2549,0.3336,0.5118,0.31,-0.39200000000000035
144.29,145.6842041015625,153.2,153.85,151.01,150.87,151.92,154.65,151.73,154.5,150.82,145.43,0.31,0.4118,0.7237,0.494,0.6005,0.5498,0.4454,0.0339,0.2549,0.3336,0.5118,-0.39200000000000035
145.43,146.7425079345703,155.33,153.2,153.85,151.01,150.87,151.92,154.65,151.73,154.5,150.82,0.5118,0.6587,0.4118,0.7237,0.494,0.6005,0.5498,0.4454,0.0339,0.2549,0.3336,-0.1590000000000007
150.82,147.36843872070312,153.71,155.33,153.2,153.85,151.01,150.87,151.92,154.65,151.73,154.5,0.3336,0.6074,0.6587,0.4118,0.7237,0.494,0.6005,0.5498,0.4454,0.0339,0.2549,-0.1590000000000007
154.5,148.8531036376953,152.55,153.71,155.33,153.2,153.85,151.01,150.87,151.92,154.65,151.73,0.2549,0.5927,0.6074,0.6587,0.4118,0.7237,0.494,0.6005,0.5498,0.4454,0.0339,-0.1590000000000007
151.73,149.87930297851562,148.48,152.55,153.71,155.33,153.2,153.85,151.01,150.87,151.92,154.65,0.0339,0.1632,0.5927,0.6074,0.6587,0.4118,0.7237,0.494,0.6005,0.5498,0.4454,-0.1590000000000007
154.65,151.4659423828125,148.91,148.48,152.55,153.71,155.33,153.2,153.85,151.01,150.87,151.92,0.4454,0.4751,0.1632,0.5927,0.6074,0.6587,0.4118,0.7237,0.494,0.6005,0.5498,-0.1590000000000007
151.92,152.8729248046875,149.4,148.91,148.48,152.55,153.71,155.33,153.2,153.85,151.01,150.87,0.5498,0.7048,0.4751,0.1632,0.5927,0.6074,0.6587,0.4118,0.7237,0.494,0.6005,-0.1590000000000007
150.87,153.52542114257812,146.71,149.4,148.91,148.48,152.55,153.71,155.33,153.2,153.85,151.01,0.6005,0.6464,0.7048,0.4751,0.1632,0.5927,0.6074,0.6587,0.4118,0.7237,0.494,-0.1590000000000007
151.01,153.72061157226562,147.92,146.71,149.4,148.91,148.48,152.55,153.71,155.33,153.2,153.85,0.494,0.5572,0.6464,0.7048,0.4751,0.1632,0.5927,0.6074,0.6587,0.4118,0.7237,-0.1590000000000007
153.85,153.8929901123047,147.41,147.92,146.71,149.4,148.91,148.48,152.55,153.71,155.33,153.2,0.7237,0.3021,0.5572,0.6464,0.7048,0.4751,0.1632,0.5927,0.6074,0.6587,0.4118,-0.1590000000000007
153.2,153.6458740234375,145.31,147.41,147.92,146.71,149.4,148.91,148.48,152.55,153.71,155.33,0.4118,0.4623,0.3021,0.5572,0.6464,0.7048,0.4751,0.1632,0.5927,0.6074,0.6587,-0.1590000000000007
155.33,153.3333740234375,145.91,145.31,147.41,147.92,146.71,149.4,148.91,148.48,152.55,153.71,0.6587,0.3912,0.4623,0.3021,0.5572,0.6464,0.7048,0.4751,0.1632,0.5927,0.6074,-0.1590000000000007
153.71,153.29454040527344,151.03,145.91,145.31,147.41,147.92,146.71,149.4,148.91,148.48,152.55,0.6074,0.3126,0.3912,0.4623,0.3021,0.5572,0.6464,0.7048,0.4751,0.1632,0.5927,-0.1590000000000007
