Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2021-01-04,$129.41,143301900,$133.52,$133.6116,$126.76,2.0,0.963,AAPL.US
2021-01-05,$131.01,97664900,$128.89,$131.74,$128.43,6.0,0.8213,AAPL.US
2021-01-06,$126.60,155088000,$127.72,$131.0499,$126.382,2.0,0.906,AAPL.US
2021-01-07,$130.92,109578200,$128.36,$131.63,$127.86,3.0,0.5427,AAPL.US
2021-01-08,$132.05,105158200,$132.43,$132.63,$130.23,8.0,0.9473,AAPL.US
2021-01-11,$128.98,100620900,$129.19,$130.17,$128.50,,,
2021-01-12,$128.80,91951150,$128.50,$129.69,$126.86,5.0,0.918,AAPL.US
2021-01-13,$130.89,88636830,$128.76,$131.45,$128.49,5.0,0.1556,AAPL.US
2021-01-14,$128.91,90221760,$130.80,$131.00,$128.76,3.0,0.998,AAPL.US
2021-01-15,$127.14,111598500,$128.78,$130.2242,$127.00,15.0,0.8601,AAPL.US
2021-01-19,$127.83,90757330,$127.78,$128.71,$126.938,5.0,0.2394,AAPL.US
2021-01-20,$132.03,104319500,$128.66,$132.49,$128.55,2.0,0.855,AAPL.US
2021-01-21,$136.87,120529500,$133.80,$139.67,$133.59,5.0,0.0672,AAPL.US
2021-01-22,$139.07,114459400,$136.28,$139.85,$135.02,8.0,0.9949,AAPL.US
2021-01-25,$142.92,157611700,$143.07,$145.09,$136.54,8.0,0.6099,AAPL.US
2021-01-26,$143.16,98390560,$143.60,$144.30,$141.37,7.0,0.9583,AAPL.US
2021-01-27,$142.06,140843800,$143.43,$144.30,$140.41,4.0,0.996,AAPL.US
2021-01-28,$137.09,142621100,$139.52,$141.99,$136.70,8.0,0.5235,AAPL.US
2021-01-29,$131.96,177523800,$135.83,$136.74,$130.21,5.0,0.4322,AAPL.US
2021-02-01,$134.14,106239800,$133.75,$135.38,$130.93,2.0,0.991,AAPL.US
2021-02-02,$134.99,83305370,$135.73,$136.31,$134.61,4.0,0.3708,AAPL.US
2021-02-03,$133.94,89880940,$135.76,$135.77,$133.61,2.0,0.925,AAPL.US
2021-02-04,$137.39,84183060,$136.30,$137.40,$134.59,5.0,0.9988,AAPL.US
2021-02-05,$136.76,75693830,$137.35,$137.42,$135.86,8.0,0.7668,AAPL.US
2021-02-08,$136.91,71297210,$136.03,$136.96,$134.92,17.0,0.4944,AAPL.US
2021-02-09,$136.01,76774210,$136.62,$137.877,$135.85,6.0,0.3017,AAPL.US
2021-02-10,$135.39,73046560,$136.48,$136.99,$134.40,9.0,0.8654,AAPL.US
2021-02-11,$135.13,64280030,$135.90,$136.39,$133.77,9.0,0.997,AAPL.US
